STORE_NBR,CORRELATION
71,0.9141059654434728
233,0.9037741879865311
119,0.8676644040124435
17,0.8426683602788765
3,0.8066436365226513
41,0.7832318677219251
50,0.7638658418672792
157,0.735893224199046
162,0.7297401381002917
257,0.7249273176108283
234,0.6963247780523224
115,0.6891588204916098
84,0.6843478453990107
167,0.6571103657049513
265,0.6397593752387193
192,0.6250301963017069
63,0.5895506393840302
254,0.577108489240569
237,0.5752003264418696
33,0.5737001943180312
60,0.5723208653543406
105,0.5575083496597486
27,0.5544333056211479
202,0.5349696291413316
53,0.5327640242987132
250,0.5322723301292779
184,0.5245841183971098
113,0.5200152648665908
111,0.5194726736058162
20,0.5173500196528021
121,0.5085673510056165
35,0.5018257280460119
30,0.4998316623594833
168,0.4770650508478669
187,0.46066880214914235
69,0.4589126561100483
236,0.45785246201447305
26,0.45645803464980905
232,0.43924141009438006
37,0.4375957166946285
46,0.43565006219044544
14,0.4355935233087641
145,0.4306423811738448
23,0.417951920742377
151,0.4113130493172978
21,0.4064181411090969
131,0.4032989834714797
264,0.39383639136382786
226,0.3896817947556021
195,0.378044948187394
152,0.3779652214833974
176,0.3691205724348799
213,0.36683999926051003
248,0.36615244456940454
148,0.36324924384249396
178,0.35867368660040916
205,0.35651011221105133
271,0.3554873049450192
62,0.3495079024103353
268,0.3447571220555158
165,0.3439307561636871
181,0.32978036447871556
81,0.32545099172439784
197,0.32447756496720687
251,0.32344406708729456
59,0.32309133249364275
150,0.31838836519459784
270,0.31543042335376503
217,0.310776325844462
139,0.30223880735542924
221,0.29574203981032215
263,0.29307509769482387
216,0.28897724670974473
96,0.28625987225882676
191,0.28562577849888976
43,0.28056983498996135
161,0.27408518330127785
45,0.2709834087244902
127,0.264806672405642
93,0.25991068890615193
130,0.2547255864144338
153,0.2460210805009006
64,0.2440668109443749
112,0.24361242570255864
39,0.23863296516193444
203,0.21730238226655882
98,0.1964659823084527
222,0.1917686022511207
128,0.19115406410037047
255,0.1910913119146421
245,0.1894675906475073
199,0.18767877747152426
229,0.1810567651653147
210,0.16893791993476892
228,0.16667816077291542
83,0.1623895932796772
196,0.16108143829301702
170,0.1567470449325822
48,0.15650002024012472
207,0.1537760140342818
82,0.15311874264421557
262,0.13356554598875597
259,0.13280367917274039
72,0.12686896744679663
175,0.12451206473345876
144,0.1239189783021061
28,0.11902164767992796
272,0.11762157957156674
58,0.11505113390659753
189,0.11089176845162355
173,0.10401865110351347
79,0.09129641245614904
253,0.08985279980669017
204,0.08979789223448643
36,0.08880262081025363
164,0.08635576668520005
40,0.08216506994605086
235,0.08025487768141362
1,0.07521784241886446
68,0.07434190727187366
214,0.07252989072372938
133,0.06652972757150788
174,0.0658857638574318
160,0.06051738519678268
38,0.05920593682258022
215,0.05467713072697275
239,0.049456444798393076
12,0.04630520307322566
188,0.042708330028214093
6,0.04248974968169361
183,0.04178723384262044
42,0.034549334860712454
18,0.03322767250372111
149,0.032692683298893466
73,0.02461226207860941
212,0.021181954455804838
219,0.018992676185974923
194,0.01018165718083092
106,0.00785498157568437
70,0.007049385864764551
159,-0.001655039390722639
123,-0.00574450315662286
166,-0.005875449153210554
74,-0.013911870652858004
256,-0.01424483541491743
260,-0.016617742643728232
51,-0.031162417743115296
10,-0.04000838705252333
52,-0.04188337758614848
100,-0.057110619782748756
185,-0.061202040611445276
57,-0.06135100935833843
182,-0.06532156320681007
132,-0.07607323707728317
108,-0.08193878885891938
126,-0.08471208836822529
118,-0.09486344998924286
154,-0.1037874994110829
163,-0.1098208752361142
5,-0.11065230624397077
88,-0.1141986521841419
65,-0.11627640706616563
198,-0.12622697226532675
223,-0.13011573866883888
200,-0.13979647492965974
209,-0.14188627778033044
120,-0.14743600923596345
224,-0.1517311827156512
141,-0.15252832613807926
246,-0.15851128669909556
140,-0.16448022778747382
156,-0.16516860643654832
87,-0.1672923817979078
109,-0.17831818699619786
231,-0.17869141639610625
220,-0.18309087826630677
110,-0.18333128235500074
230,-0.1894984977783195
190,-0.19017133081543874
7,-0.19388594736847614
99,-0.1984628654403861
134,-0.19969560541997328
101,-0.19988746152314527
16,-0.21425544542670188
25,-0.22030975835279845
56,-0.22690739422306277
177,-0.22790234970699144
91,-0.23016861629608204
125,-0.2330664501522193
137,-0.2355599174482621
49,-0.23736298537263256
143,-0.24192652554430025
243,-0.24462374134896536
261,-0.24659290125777103
142,-0.2466801662098528
13,-0.25336218374686215
15,-0.2546179231957854
107,-0.255402558936926
78,-0.2562547590374802
66,-0.25728565475780124
146,-0.26135441673536425
2,-0.2630787308319905
4,-0.2632996004856203
94,-0.2656475516988704
86,-0.2668305778776615
34,-0.27192303945670476
47,-0.2773034064579728
241,-0.2850424173910944
122,-0.2902106132060431
116,-0.29061810766298135
29,-0.30033709034106515
8,-0.3073603732839485
155,-0.3143641418329211
54,-0.31534958535960994
269,-0.3157303472331332
124,-0.31781222900398154
32,-0.3196842394013741
238,-0.324194756761177
171,-0.3292702970641953
95,-0.3325497383273892
103,-0.3361293528332244
135,-0.35009087071217815
136,-0.3502377786804334
90,-0.37764897121203006
208,-0.38114318787368695
97,-0.3989686429087782
80,-0.4054376918200936
104,-0.40896957947628226
201,-0.4109080584184134
240,-0.41159854745574626
225,-0.4170938413232998
89,-0.4289355768193986
114,-0.4396363172165602
180,-0.444777060846674
67,-0.4452270262619729
61,-0.45054526268655665
129,-0.45291976390080685
227,-0.45742750439345725
179,-0.46941539318762304
267,-0.4705143275396972
172,-0.49359157775934603
22,-0.5005766970171391
249,-0.518507364717979
147,-0.5379945408308289
266,-0.5397460049258247
102,-0.5508336842313886
138,-0.5851740276841586
169,-0.6301122785768682
247,-0.6310496384999925
258,-0.6508929879979648
55,-0.6667815798995415
19,-0.6779290823050118
242,-0.6926643427789041
9,-0.7029760485789348
158,-0.7093194120980448
24,-0.7181122596250319
244,-0.7745128746419971
75,-0.8067514125618693
186,-0.8202139031431196
