STORE_NBR,CORRELATION
155,0.8778816901365496
132,0.8465165640013176
240,0.8250658384874217
222,0.795075298630144
109,0.788299539592691
138,0.7598637683047483
198,0.7487942935487224
114,0.7344154920107472
22,0.7229662860701332
6,0.7218920003749525
260,0.7203498240003641
75,0.7063067618331095
269,0.6970551875694793
106,0.678683672181681
79,0.6687476512433166
128,0.6549286063434867
58,0.6435207566258143
25,0.640143543737386
201,0.6396773182087085
166,0.624665729460342
134,0.6207656857527515
255,0.6183590741763911
225,0.6175328448495053
181,0.607657117980053
170,0.600863333984323
64,0.5991112405982432
61,0.5963364878994017
212,0.5918518228649301
159,0.5777088773935222
49,0.5762199955605306
231,0.5728309477998242
232,0.5710638439541678
178,0.5588873899863824
56,0.5514405489694717
228,0.5471527239357107
147,0.5454627795797109
203,0.5448298759284503
32,0.5438547078600142
247,0.5389347642240302
88,0.5344231533930563
208,0.5319689671981188
62,0.5288833323099239
271,0.5276372662613908
172,0.5244750228420894
188,0.522283700428027
207,0.5165077921110125
223,0.5069435930561881
176,0.5031279874406495
89,0.494450683041895
194,0.47657845992696096
137,0.4751478542439863
74,0.47364209370841454
229,0.47066897905937494
253,0.46322010310764605
145,0.44873589068129843
78,0.4469051046638755
1,0.44563177842253315
160,0.4419696221347216
213,0.4269625480829499
217,0.42245875130370447
18,0.4209717983503865
13,0.4096098963252734
242,0.39603859048041795
169,0.38729802365643096
99,0.3792075953417376
54,0.3688806683439729
186,0.3626409391254179
10,0.3515997214865091
59,0.3453037200815464
204,0.3429648693684694
210,0.3269246451356943
163,0.31994477257219267
202,0.31986622449846935
12,0.31567233810345285
157,0.31511656352849793
259,0.310418577938674
101,0.30923276643751024
80,0.3067385875510179
251,0.3021482097957544
153,0.29826726583505336
241,0.2820505447133998
237,0.2636477278432105
26,0.2601145513232654
14,0.25706768918535233
187,0.252782407991926
183,0.2470186409407034
46,0.24477067395076935
5,0.23515919533974966
98,0.2281969023034583
245,0.22526425267427239
97,0.21177797216097602
227,0.1989019700504971
55,0.17927016166439863
220,0.17563608166116282
168,0.16922112642382522
7,0.16409867831561778
36,0.1521699537585967
116,0.15197903055286735
246,0.14772124001783224
24,0.14476848265172654
40,0.13469365480891188
179,0.13253901105238824
103,0.12938566793673892
167,0.12800563292755168
216,0.1257201092446426
125,0.125308148099862
140,0.12259348589960493
262,0.12254648857557744
263,0.11998959322841214
150,0.11232142681130959
73,0.10344823341790428
190,0.10326894741015008
197,0.10198008621892762
161,0.10026037519867938
9,0.09785362961076288
258,0.088916607749226
38,0.08493401609845995
184,0.07264142000896062
171,0.06665743655876566
28,0.06536275015461467
244,0.0630058909521695
45,0.061902302253408883
93,0.04882469299173112
126,0.04602957201898858
165,0.045247408966927756
90,0.042929689734264455
199,0.030606838669834525
17,0.02979332275318098
131,0.028487390127491796
144,0.025795133330209285
34,0.022864240568065426
91,0.019026710832865716
65,0.018480369542279367
84,0.016690222491177846
121,0.01114649869949481
234,0.010508673806555098
158,0.010494445033953222
272,0.004925857709277339
152,0.002802958299682268
69,3.766934596273836e-4
87,-4.360380535869171e-5
20,-0.011903930058579069
100,-0.012700507394183755
19,-0.012734207708843148
235,-0.022439008228509465
4,-0.03903547498786518
257,-0.039509787519241536
130,-0.04443890780804606
219,-0.04665257301345722
123,-0.05386072860415161
266,-0.057879872304045205
81,-0.06378132230073097
70,-0.06842190431226432
136,-0.07422492728417919
141,-0.07957650882307588
249,-0.0886002531699415
127,-0.09274730166234121
133,-0.10486788541092881
267,-0.11235109790454383
180,-0.11507262589020952
67,-0.11553261118702501
139,-0.12572440160209625
124,-0.1319629571513492
182,-0.1425461218468738
261,-0.1430192298530801
215,-0.14900220352464755
205,-0.15646251297629968
102,-0.15817245407666763
177,-0.16653736681034198
265,-0.17181993469872367
8,-0.17714771963735518
221,-0.1839361487181845
68,-0.18432549638277845
33,-0.18639387205239044
248,-0.1870708435491676
189,-0.2065756178793251
57,-0.2181104331212497
71,-0.24313064238366872
113,-0.24488728052630557
122,-0.2567056820825759
3,-0.2612838954084814
43,-0.266751001265678
77,-0.2668305778776615
48,-0.2711468697742151
82,-0.2818440413114139
53,-0.2844358589554953
112,-0.29081076826134333
72,-0.2910288407815443
60,-0.2933241405172457
119,-0.30092826694610997
192,-0.30186749991057055
209,-0.3067028281235162
41,-0.3072863019586484
162,-0.3117678114356474
142,-0.31386482592211484
151,-0.31623285214501234
95,-0.32046278072763235
200,-0.323800471321766
118,-0.3332686260664191
104,-0.3355461035583758
224,-0.3435013314138533
29,-0.3441030293173503
47,-0.3499868500640963
110,-0.3545000959319223
50,-0.37102251369403644
196,-0.37319620966565276
148,-0.37504497839012435
105,-0.38146359113179984
83,-0.38927890902983975
16,-0.39089197956614846
35,-0.3961515437548915
191,-0.4007253832657061
239,-0.40252294517416837
2,-0.4038347841306259
115,-0.40542871075190523
94,-0.41394629665458604
238,-0.4168365161293214
15,-0.43784789514059447
195,-0.4503813965248164
268,-0.4521816311396457
63,-0.45707899382929124
156,-0.4605910135834886
135,-0.46107924483838925
264,-0.46610835747522805
21,-0.4716730307661829
233,-0.5020491954129688
30,-0.5169128063081494
236,-0.5209813411959867
173,-0.5210945180348396
243,-0.5544143346533434
129,-0.5624793176688527
107,-0.5707107812081688
226,-0.5831337402228829
111,-0.5863932668235224
250,-0.5867755661607367
66,-0.5913065305261932
230,-0.5992809498702942
52,-0.6016291873181426
96,-0.6120298941447975
175,-0.6143622582562364
143,-0.6159256477761506
164,-0.624613382344944
149,-0.6812608919771971
174,-0.7159825759460076
37,-0.7245879369111083
270,-0.7306787715002124
51,-0.7364413466055523
42,-0.745719531310371
154,-0.7532793246305953
27,-0.7576525582391346
146,-0.775127364414291
185,-0.7769227465768094
23,-0.7846975964655397
214,-0.7897883520899884
254,-0.7935056200640337
39,-0.8081208925908295
108,-0.8404128887241743
256,-0.8474007650415996
120,-0.8726931513813594
